movie_title,year,place,star_cast,rating,vote,link
2001: A Space Odyssey,1968,90,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.27180370345569,586400,/title/tt0062622/
Requiem for a Dream,2000,91,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.267774841658857,746802,/title/tt0180093/
Vertigo,1958,92,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.267244314709092,351526,/title/tt0052357/
M - Eine Stadt sucht einen Mörder,1931,93,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.264345542750247,138904,/title/tt0022100/
Dangal,2016,94,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.26388261693126,147002,/title/tt5074352/
1917,2019,95,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.263694986075496,356803,/title/tt8579674/
Eternal Sunshine of the Spotless Mind,2004,96,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.259377261638637,887783,/title/tt0338013/
Jagten,2012,97,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.25734488208535,268652,/title/tt2106476/
Citizen Kane,1941,98,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.255545541296577,388461,/title/tt0033467/
Full Metal Jacket,1987,99,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.249780170900657,656665,/title/tt0093058/
 Ladri di biciclette,1948,10,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.24804023938027,141042,/title/tt0040522/
The Kid,1921,101,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.246901262439444,108662,/title/tt0012349/
A Clockwork Orange,1971,102,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.246529972733946,738818,/title/tt0066921/
North by Northwest,1959,103,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.246435259942967,290916,/title/tt0053125/
Snatch,2000,104,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.245139296512255,765195,/title/tt0208092/
Singin' in the Rain,1952,105,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.244434576568198,212665,/title/tt0045152/
Scarface,1983,106,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.242544131275897,719598,/title/tt0086250/
Taxi Driver,1976,107,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.239707244010408,701350,/title/tt0075314/
Amélie,2001,108,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.23516377242159,689437,/title/tt0211915/
Lawrence of Arabia,1962,109,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.2348148189793,260937,/title/tt0056172/
Ikiru,1952,110,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.234356194295687,65122,/title/tt0044741/
Toy Story 3,2010,111,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.234161582054814,738293,/title/tt0435761/
The Sting,1973,112,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.233503648468956,235807,/title/tt0070735/
Metropolis,1927,113,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.231729858762531,155706,/title/tt0017136/
Jodaeiye Nader az Simin,2011,114,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.230759842799277,213604,/title/tt1832382/
Per qualche dollaro in più,1965,115,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.228683455481631,225334,/title/tt0059578/
Incendies,2010,116,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.224307113391228,141850,/title/tt1255953/
The Apartment,1960,117,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.22246825202911,158443,/title/tt0053604/
Double Indemnity,1944,118,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.22170441160036,139192,/title/tt0036775/
To Kill a Mockingbird,1962,119,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.216311794219157,288334,/title/tt0056592/
Idi i smotri,1985,120,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.213293617047546,53710,/title/tt0091251/
Indiana Jones and the Last Crusade,1989,121,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.211892486599641,675636,/title/tt0097576/
Up,2009,122,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.211417154137832,909488,/title/tt1049413/
LA Confidential,1997,123,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.203156601499643,520642,/title/tt0119488/
Heat,1995,124,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.201740445003924,561010,/title/tt0113277/
Monty Python and the Holy Grail,1975,125,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.196140003165317,490746,/title/tt0071853/
Anand,1971,126,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",8.195594075396247,27856,/title/tt0066763/
Die Hard,1988,127,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.194317451335225,766638,/title/tt0095016/
Rashômon,1950,128,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.192071945294288,147763,/title/tt0042876/
Yôjinbô,1961,129,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.190799658544524,107232,/title/tt0055630/
Batman Begins,2005,130,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.190287768187073,1274888,/title/tt0372784/
Green Book,2018,131,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.187256869345358,339074,/title/tt6966692/
Der Untergang,2004,132,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.185624219973281,324048,/title/tt0363163/
Bacheha-Ye aseman,1997,133,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.184505193998705,61999,/title/tt0118849/
Unforgiven,1992,134,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.18147193931744,366452,/title/tt0105695/
Some Like It Hot,1959,135,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.175947229061954,237494,/title/tt0053291/
Ran,1985,136,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.174770293049875,108476,/title/tt0089881/
Hauru no ugoku shiro,2004,137,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.166973761986876,317680,/title/tt0347149/
The Great Escape,1963,138,"John Sturges (dir.), Steve McQueen, James Garner",8.161186500583442,219196,/title/tt0057115/
A Beautiful Mind,2001,139,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.161132618018398,825861,/title/tt0268978/
All About Eve,1950,140,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.160949850478264,117358,/title/tt0042192/
Casino,1995,141,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.159815758515018,451437,/title/tt0112641/
Pan's Labyrinth,2006,142,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.154826981624268,605913,/title/tt0457430/
The Wolf of Wall Street,2013,143,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.153618376092645,1137978,/title/tt0993846/
El secreto de sus ojos,2009,144,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.15031681328948,187377,/title/tt1305806/
"Lock, Stock and Two Smoking Barrels",1998,145,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.14883980240988,523481,/title/tt0120735/
Tonari no Totoro,1988,146,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.148111454115886,277124,/title/tt0096283/
Raging Bull,1980,147,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.147769709340878,313013,/title/tt0081398/
There Will Be Blood,2007,148,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.143159780835923,501597,/title/tt0469494/
Judgment at Nuremberg,1961,149,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.140081279280674,67159,/title/tt0055031/
The Treasure of the Sierra Madre,1948,150,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.139963294531634,111228,/title/tt0040897/
Babam ve Oglum,2005,151,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.132247629183853,75823,/title/tt0476735/
"Three Billboards Outside Ebbing, Missouri",2017,152,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.132190523561585,409923,/title/tt5027774/
Dial M for Murder,1954,153,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.131572357999021,152854,/title/tt0046912/
The Gold Rush,1925,154,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.130162786591058,97167,/title/tt0015864/
Chinatown,1974,155,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129966832555743,286028,/title/tt0071315/
V for Vendetta,2005,156,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.124918373417943,1007714,/title/tt0434409/
No Country for Old Men,2007,157,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.124462872879086,829282,/title/tt0477348/
Shutter Island,2010,158,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.124103386809582,1093051,/title/tt1130884/
Det sjunde inseglet,1957,159,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.122879211197048,158768,/title/tt0050976/
Inside Out,2015,160,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.121697442218272,590983,/title/tt2096673/
Warrior,2011,161,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.119721993674007,426786,/title/tt1291584/
The Elephant Man,1980,162,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.11685654591187,213981,/title/tt0080678/
Trainspotting,1996,163,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.116356594355482,622439,/title/tt0117951/
The Sixth Sense,1999,164,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.115557921784204,892820,/title/tt0167404/
The Thing,1982,165,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.114379284623602,359241,/title/tt0084787/
Jurassic Park,1993,166,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.111006220434327,843138,/title/tt0107290/
Gone with the Wind,1939,167,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.107481261400602,283330,/title/tt0031381/
Smultronstället,1957,168,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.105482058389027,92537,/title/tt0050986/
Blade Runner,1982,169,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.104822774997874,676639,/title/tt0083658/
Finding Nemo,2003,170,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.10451963754214,926178,/title/tt0266543/
The Truman Show,1998,171,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.104132924611328,908090,/title/tt0120382/
Room,2015,172,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.103227966717089,355863,/title/tt3170832/
Stalker,1979,173,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.102144964322123,111532,/title/tt0079944/
The Bridge on the River Kwai,1957,174,"David Lean (dir.), William Holden, Alec Guinness",8.10204599881824,198296,/title/tt0050212/
Kill Bill: Vol 1,2003,175,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.100799442068695,975302,/title/tt0266697/
Fargo,1996,176,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.098874886130174,599659,/title/tt0116282/
Tôkyô monogatari,1953,177,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.09743045349767,50204,/title/tt0046438/
The Third Man,1949,178,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.097036048487539,154931,/title/tt0041959/
On the Waterfront,1954,179,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.096629521618842,138107,/title/tt0047296/
Gran Torino,2008,180,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.095761757190575,705883,/title/tt1205489/
Salinui chueok,2003,181,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",8.094991889915098,127276,/title/tt0353969/
The Deer Hunter,1978,182,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.092618841667345,303749,/title/tt0077416/
Relatos salvajes,2014,183,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.092091854422234,169793,/title/tt3011894/
Andhadhun,2018,184,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.088285734935699,65037,/title/tt8108198/
Klaus,2019,185,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.087978649195186,73997,/title/tt4729430/
In the Name of the Father,1993,186,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.084970522101216,152416,/title/tt0107207/
Mary and Max,2009,187,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.084513905499398,160759,/title/tt0978762/
Gone Girl,2014,188,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.081933532753366,830986,/title/tt2267998/
The Big Lebowski,1998,189,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.081280521935698,711800,/title/tt0118715/
Hacksaw Ridge,2016,190,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.081082092560623,416786,/title/tt2119532/
The Grand Budapest Hotel,2014,191,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.080641789048968,685955,/title/tt2278388/
Eskiya,1996,192,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.07948763039834,61657,/title/tt0116231/
Before Sunrise,1995,193,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.078530009269205,261933,/title/tt0112471/
To Be or Not to Be,1942,194,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.077386761838927,27190,/title/tt0035446/
Catch Me If You Can,2002,195,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.07733749200547,797728,/title/tt0264464/
Persona,1966,196,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.07642651922412,98486,/title/tt0060827/
Ford v Ferrari,2019,197,"James Mangold (dir.), Matt Damon, Christian Bale",8.075415333492574,247255,/title/tt1950186/
The General,1926,198,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.072526688483665,78543,/title/tt0017925/
How to Train Your Dragon,2010,199,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.07167601120765,650254,/title/tt0892769/
Prisoners,2013,200,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.07140412138059,579300,/title/tt1392214/
Sherlock Jr,1924,201,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.071122477594736,39458,/title/tt0015324/
Mr Smith Goes to Washington,1939,202,"Frank Capra (dir.), James Stewart, Jean Arthur",8.06833019132317,104348,/title/tt0031679/
12 Years a Slave,2013,203,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.065257318208035,623234,/title/tt2024544/
Barry Lyndon,1975,204,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.062340077951138,144878,/title/tt0072684/
Mad Max: Fury Road,2015,205,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061291962118615,854228,/title/tt1392190/
Network,1976,206,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.057523336110542,141583,/title/tt0074958/
Stand by Me,1986,207,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.057321395723934,355027,/title/tt0092005/
Cool Hand Luke,1967,208,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.05683199454256,158116,/title/tt0061512/
Million Dollar Baby,2004,209,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.056598985252128,622077,/title/tt0405159/
